id,species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g/100
1,Adelie,36,17.9,190,34.5
2,Adelie,38.8,17.2,180,38
3,Gentoo,48.7,15.1,222,53.5
4,Gentoo,50,15.9,224,53.5
5,Gentoo,46.6,14.2,210,48.5
6,Adelie,41.5,18.3,195,43
7,Adelie,37.6,17,185,36
8,Adelie,38.9,18.8,190,36
9,Chinstrap,47,17.3,185,37
10,Chinstrap,49.7,18.6,195,36
11,Adelie,40.5,18.9,180,39.5
12,Chinstrap,54.2,20.8,201,43
13,Chinstrap,50.2,18.8,202,38
14,Adelie,43.1,19.2,197,35
15,Gentoo,49.5,16.1,224,56.5
16,Adelie,35.6,17.5,191,31.8
17,Adelie,37,16.5,185,34
18,Chinstrap,42.4,17.3,181,36
19,Chinstrap,51.3,19.2,193,36.5
20,Adelie,41.8,19.4,198,44.5
21,Adelie,42.1,19.1,195,40
22,Gentoo,42,13.5,210,41.5
23,Adelie,41.6,18,192,39.5
24,Adelie,42,19.5,200,40.5
25,Adelie,35.2,15.9,186,30.5
26,Chinstrap,51.9,19.5,206,39.5
27,Adelie,37.7,19.8,198,35
28,Gentoo,44,13.6,208,43.5
29,Gentoo,46.2,14.9,221,53
30,Adelie,39.7,17.9,193,42.5
31,Adelie,36.4,17,195,33.3
32,Adelie,36.7,18.8,187,38
33,Adelie,41.3,21.1,195,44
34,Gentoo,42.6,13.7,213,49.5
35,Adelie,43.2,18.5,192,41
36,Gentoo,47.3,15.3,222,52.5
37,Gentoo,50,15.2,218,57
38,Gentoo,46.3,15.8,215,50.5
39,Adelie,36.2,17.3,187,33
40,Gentoo,48.1,15.1,209,55
41,Adelie,40.3,18,195,32.5
42,Adelie,40.9,16.8,191,37
43,Gentoo,49.1,14.8,220,51.5
44,Adelie,37.9,18.6,172,31.5
45,Gentoo,47.2,15.5,215,49.8
46,Adelie,40.2,20.1,200,39.8
47,Adelie,36,17.1,187,37
48,Adelie,43.2,19,197,47.8
49,Gentoo,50.4,15.3,224,55.5
50,Adelie,36.7,19.3,193,34.5
51,Gentoo,45.5,15,220,50
52,Gentoo,59.6,17,230,60.5
53,Chinstrap,50.5,18.4,200,34
54,Adelie,38.3,19.2,189,39.5
55,Adelie,45.6,20.3,191,46
56,Adelie,37.8,18.3,174,34
57,Chinstrap,46,18.9,195,41.5
58,Gentoo,46.1,15.1,215,51
59,Gentoo,45.3,13.8,208,42
60,Adelie,45.8,18.9,197,41.5
61,Gentoo,50,16.3,230,57
62,Adelie,42.5,20.7,197,45
63,Gentoo,46.5,14.8,217,52
64,Adelie,38.8,17.6,191,32.8
65,Gentoo,44.9,13.3,213,51
66,Gentoo,46.8,15.4,215,51.5
67,Adelie,36.8,18.5,193,35
68,Gentoo,50.5,15.9,222,55.5
69,Chinstrap,49,19.5,210,39.5
70,Adelie,34.6,17.2,189,32
71,Chinstrap,53.5,19.9,205,45
72,Gentoo,46.5,14.5,213,44
73,Adelie,35.9,19.2,189,38
74,Adelie,39.6,18.1,186,44.5
75,Adelie,40.9,18.9,184,39
76,Adelie,41,20,203,47.3
77,Adelie,38.6,21.2,191,38
78,Adelie,41.1,17.5,190,39
79,Gentoo,47.2,13.7,214,49.3
80,Chinstrap,50.5,19.6,201,40.5
81,Gentoo,54.3,15.7,231,56.5
82,Adelie,37,16.9,185,30
83,Adelie,38.1,18.6,190,37
84,Adelie,38.6,17,188,29
85,Chinstrap,49,19.6,212,43
86,Chinstrap,45.4,18.7,188,35.3
87,Adelie,35.5,17.5,190,37
88,Adelie,46,21.5,194,42
89,Chinstrap,46.5,17.9,192,35
90,Gentoo,45.8,14.2,219,47
91,Adelie,34,17.1,185,34
92,Adelie,36.3,19.5,190,38
93,Gentoo,46.5,13.5,210,45.5
94,Adelie,41.4,18.6,191,37
95,Adelie,37.3,17.8,191,33.5
96,Chinstrap,52,20.7,210,48
97,Gentoo,45.8,14.6,210,42
98,Chinstrap,50.9,19.1,196,35.5
99,Gentoo,40.9,13.7,214,46.5
100,Chinstrap,46.1,18.2,178,32.5
101,Chinstrap,46.6,17.8,193,38
102,Gentoo,48.8,16.2,222,60
103,Gentoo,45.3,13.7,210,43
104,Adelie,36.4,17.1,184,28.5
105,Adelie,40.6,18.6,183,35.5
